url,status,PageRank
http://ee836593.com/,phishing,0
https://mottw2rha43d.movea-med.de/ouiiigalikjs5/,phishing,0
https://www.ivitex.ru.usrfiles.com/html/0f7405_b6252ec12368ac8e16813450812b765b.html,phishing,0
https://blurrybunda.pages.dev/,phishing,0
https://ipko-biznes.net,phishing,0
https://spectrumstorageaccess.yahoosites.com/,phishing,0
http://www.aeeecan.ascceecon.weaoha.top/page1.php,phishing,0
http://ch25d.link/login,phishing,0
https://hiperacesso.com,phishing,0
https://demo.y2ksolution.com/wp-admin/whifhgh/,phishing,0
https://eurapgbqwq.duckdns.org/,phishing,0
http://fixsecured.com,phishing,0
https://www-app-compound.finance/connect/,phishing,0
https://gospolum.firebaseapp.com/,phishing,0
https://hviizmltul.duckdns.org/,phishing,0
https://orion-ex.com/,phishing,0
http://134.122.22.221/?d38,phishing,
https://byli.pro/va1e1,phishing,1
http://pagmento-seella.servehalflife.com/,phishing,0
http://app.it.185-174-136-148.cprapid.com/BPER/,phishing,0
https://bafybeige5ixwbe26ihy47w3yjgvbmxg46lxfawahrkxavravyz2r6exwnq.ipfs.dweb.link/,phishing,0
https://2f3a.reicrut-chat.workers.dev/,phishing,0
http://globalnews18.in,phishing,0
https://tracking-your-shipment.web.app/,phishing,0
https://archcupbearer-isothermic-viver.s3.eu-central-003.backblazeb2.com/index.html,phishing,0
http://lucky-limit-3c6a.dt1gqeuc.workers.dev/,phishing,0
http://www.seasciseceaeccrirsoonar.seeascscoeooaaoeorsnmneresc.exqkjx.top/k7OIMyJhEU/page1.php,phishing,0
https://lakossagi-mkb-hu.com/login_biz.php,phishing,0
https://kdbtwufrxy.duckdns.org/,phishing,0
https://smcprofessionnels.firebaseapp.com/,phishing,0
https://bqcabwhqui.duckdns.org/,phishing,0
http://www.vivcaveescvai.saa.xhgmfb.top/uWBRvZ8quj/page1.php,phishing,0
https://getlikesfree.com/,phishing,1
https://atlantacolocation.services/checker/metamask/,phishing,0
https://xn--sant-verif-e7a.fr/,phishing,0
http://www.myjcaseeocb.caa.xhgmfb.top/uWBRvZ8quj/page1.php,phishing,0
https://nkcgawdnnl.duckdns.org/,phishing,0
https://e-pb-oauth6.firebaseapp.com/#/individual,phishing,0
https://www.bee-wicked.com/,phishing,0
https://akkartsorgulama2023.com/Login/index.php?lang=en,phishing,0
https://harmless-brass.flywheelsites.com/wp-content/plugins/google-analytics-for-wordpress/1/1/captcha/,phishing,0
