url,status,PageRank
http://www.myjcaseob.c.2021071.top/uWBRvZ8quj/page1.php,phishing,0
https://mmnmbodkzp.duckdns.org/,phishing,0
https://plumbingwaterheaterslabrepairaustin.com/split/page1st/,phishing,2
http://thermictechno.co.jp/cocomin.jp/wbmEdu.php,phishing,1
http://cheatglobal.com,phishing,4
https://letter-scg.firebaseapp.com/,phishing,0
https://www.usps-informed-delivery.zyns.com/verification/payment.php,phishing,0
https://aneskoy.site/pl/mellenium/platnosci_internetowe/login/SignIn/Multicode.php?pay,phishing,0
https://www.nwss419.top/,phishing,0
https://fbcaseid.10085109200985209.com/?fbclid=1007815986564785210,phishing,0
https://shamrockbricks.shamrockbricks.com/index.html,phishing,0
http://clonehomenetflix.andribeiro.dev/,phishing,0
http://aymsep.github.io/Insatgram-Page-Login,phishing,0
https://protocolozerobarriga.life/,phishing,0
http://www.vehicletax.service.gov.uk.0vy3lpjix.persyar.ir/.xzq/.zxq/,phishing,0
https://billowing-king-3b55.westernbot.workers.dev/,phishing,0
https://itsme-be-d12d7.firebaseapp.com/,phishing,0
http://otomoto-h229.net/konto.html,phishing,0
https://AGREEABLECOTTONMOUTH.BUILD067.WPSANDBOX.APP,phishing,0
http://pun-cake.website,phishing,0
https://sotajrkymw.duckdns.org/,phishing,0
http://pratica-controlliweb.com/,phishing,0
https://www.absa-24.one/?kamp,phishing,0
https://bjdtxttlys.duckdns.org/,phishing,0
https://practical-shirley.141-98-6-164.plesk.page/pmomhyrpuwyqklamssrquqcimibmxdmFjLXBhZ2V4LWF0eHJncGduc3ZxYWh3aGthaG10dnhpbWlpZmV0Y2h4c3VibWl0c2lzZWN1cmVkeG9mZHAuaXJzLmdvdg=,phishing,0
https://wkrfxuyroz.phyllis-johnson.workers.dev/#accounts@centrica.com,phishing,0
https://defensivejaggedintegers--5454588.repl.co/des/index.php,phishing,0
https://fa800k346ygffnkiu643wqqffr4.filesusr.com/html/f00e8e_4d9b2a88f72eb4191a8eb158b004ca1f.html?4628884*SmVmZjYxOTE4N0Bob3RtYWlsLmNvbQ==*https://m.facebook.com/exhalesub/photos/a.2117719548340489/5669036109875464/?type=3&eav=AfaUhGfKDzf1F2qcteioHD7R8ZcesALK4QPVQTvzgXoP24_nkZrNX77B0MPXZQlvLcM,phishing,0
http://verifyaccprotections2023myid.epizy.com/?i=1,phishing,0
http://wohnpark-isarblick.de//assets/js/,phishing,0
https://mail.mksc.co.tz/test134/apex.skg,phishing,0
https://lifefirstpriority.com/secure/,phishing,0
http://guava-plums-j74t.squarespace.com/,phishing,0
http://www.aseocon.acseaso.xxijzm.top/page1.php,phishing,0
http://www.aceeon.aesoocnen.ytlvjq.top/page1.php,phishing,0
https://www.200345684189.kumpulbarengteman.my.id/,phishing,0
http://siayu.indramayukab.go.id,phishing,0
http://www.aseaon.acsecso.mspxx.top/page1.php,phishing,0
https://ashotpaintings.com/,phishing,1
http://www.nycetc.org.usrfiles.com/html/0f7405_b6252ec12368ac8e16813450812b765b.html,phishing,0
https://sort-alphabetically.firebaseapp.com/,phishing,0
http://www.centraconnect.online/,phishing,0
https://provincia11.000webhostapp.com/,phishing,0
https://wwiznocrlo.duckdns.org/,phishing,0
https://googledrive.delbert.workers.dev/,phishing,0
http://turnaroundsupport.co.za/kundenkonto/,phishing,0
https://08783000220101.002x09.repl.co/index1.html,phishing,0
https://jp-mericarli.cn456w.cn/,phishing,0
https://confirm-apps.yijang-invoice.workers.dev/,phishing,0
https://bestchange.crypto-zeus.com/,phishing,0
http://www.vivevasvsi.ce.azdilh.top/LAuCvx4R/page1.php,phishing,0
http://upsettreasurederrorupsettreasurederrorupsettreasurederror.iheomame12.repl.co/,phishing,0
https://freshmood-holding.firebaseapp.com/,phishing,0
http://quccigbiql.duckdns.org,phishing,0
http://www.macesaeerd.0bj313.icu/page1.php,phishing,0
http://treatasurgent-cos-static-web-hosting-ubq.s3.us-east.cloud-object-storage.appdomain.cloud/index-spoint%20copy%206.html,phishing,0
https://me.com.185-254-198-136.cprapid.com/ent2/,phishing,0
https://id468273.icu/XhTmeF9,phishing,0
https://sbnaxequpd.duckdns.org,phishing,0
https://etc-yvvvvvv.dns04.com/,phishing,0
http://gameworld.pvbgswaat.com/,phishing,0
https://3453454435345345.23453455345345.repl.co/,phishing,0
https://pvvsbzukhl.duckdns.org/,phishing,0
https://uotyncqhle.duckdns.org/,phishing,0
https://midcoaccountsecurity.firebaseapp.com/,phishing,0
https://lcl-fr.com/espace-client/,phishing,0
https://pinchincheoashe.pichincheoashe.repl.co,phishing,0
https://solicitudesrapidasexpressdesdetuwebpmovilapps.online/,phishing,0
https://azuki.mintsecure.io/,phishing,0
http://web66.com.tw,phishing,3
https://hilfe-doc.de/mal/Webmail-Acceso-al-correo.htm,phishing,0
http://www.smpozzolo.it/zbidou/,phishing,1
https://sopranos-eindhoven.nl/Royalcu.php,phishing,2
https://bafkreidrfcgilgqvl7ad4laoocukzr6dcjvyd6uotgncqfdrhyr4f6rbxa.ipfs.w3s.link/,phishing,0
http://www.vaicacevssaivcceaririccrasoria.viiessvaaciraoecivraoeaosonseosiren.axuxfr.top/k7OIMyJhEU/page1.php,phishing,0
